Epoch	Sell	Buy	Hold	AverageEpProfit	StdEpProfit	MaxEpProfit	MinEpProfit	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpProfit	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
58	226.0	107.0	0.0	-1125.3334	8580.9795	14238.0	-10822.0	-199.73425	813.6896	1280.703	-1110.57	531.2999	6.1035156e-05	531.3	531.3	83.083336	7140.0	111.0	57999	48.62268	264.20306	1849.0446	-563.7071	-50.43694	3348.9067	374.4607448577881
59	226.0	107.0	0.0	2950.3635	7683.092	12466.0	-10429.0	178.60854	737.0829	1110.185	-1070.96	531.2999	6.1035156e-05	531.3	531.3	98.72727	7140.0	111.0	58999	52.438065	264.40237	1965.4846	-581.7378	-54.248188	3435.9475	382.0689888000488
60	223.0	110.0	0.0	1872.6	6836.939	9341.0	-10264.0	77.829605	650.71436	815.79	-1056.0	424.05	0.0	424.05	424.05	97.7	6072.0	111.0	59999	54.38617	263.59213	1976.7686	-574.1266	-56.176323	3318.9705	388.4962339401245
61	229.0	104.0	0.0	-357.5	9030.069	13525.0	-10779.0	-122.56675	860.89124	1243.077	-1106.04	967.6061	6.1035156e-05	967.606	967.606	83.166664	11483.0	111.0	60999	59.245693	264.65256	1978.5024	-579.2279	-61.0135	3516.3608	395.0761659145355
62	223.0	110.0	0.0	2008.6	6796.2324	11892.0	-10210.0	86.76619	645.4699	1079.353	-1049.01	424.05	0.0	424.05	424.05	97.6	6072.0	111.0	61999	63.02292	266.11465	1952.2828	-595.29083	-64.77639	3563.42	401.9096210002899
63	223.0	110.0	0.0	930.2727	8733.985	13060.0	-10703.0	4.440729	835.2518	1255.538	-1098.5	424.05	0.0	424.05	424.05	86.72727	6072.0	111.0	62999	64.102165	268.3104	1862.11	-584.4409	-65.855385	3561.4734	408.3443830013275
64	223.0	110.0	0.0	1870.1818	8068.1807	10027.0	-10852.0	72.07218	753.9382	861.685	-1113.57	424.05	0.0	424.05	424.05	92.72727	6072.0	111.0	63999	67.36671	271.33813	1888.2075	-577.4069	-69.11833	3602.457	415.1201810836792
65	223.0	110.0	0.0	4079.8	7294.73	9349.0	-10398.0	293.2436	685.77655	809.495	-1062.32	424.05	0.0	424.05	424.05	97.2	6072.0	111.0	64999	70.06956	273.00552	1881.9974	-583.53503	-71.801025	3568.9866	422.25693583488464
66	223.0	110.0	0.0	1341.7273	7510.8735	8773.0	-10654.0	14.526623	694.5661	700.766	-1093.77	424.05	0.0	424.05	424.05	92.72727	6072.0	111.0	65999	73.41667	276.13626	1989.932	-600.94226	-75.12072	3737.917	429.6729989051819
67	223.0	110.0	0.0	432.0	7951.89	9871.0	-10774.0	-65.105835	739.5363	836.875	-1105.712	424.05	0.0	424.05	424.05	88.666664	6072.0	111.0	66999	70.25081	273.83292	1886.9891	-602.8698	-71.9478	3692.8325	437.3313479423523
68	223.0	110.0	0.0	143.83333	9227.386	13810.0	-10852.0	-86.174416	863.6479	1234.513	-1113.57	424.05	0.0	424.05	424.05	83.083336	6072.0	111.0	67999	70.62148	273.232	1957.636	-621.0127	-72.307144	3752.6316	444.61453795433044
69	223.0	110.0	0.0	4263.222	5715.648	8292.0	-10099.0	293.88077	540.0965	689.472	-1039.22	424.05	0.0	424.05	424.05	103.666664	6072.0	111.0	68999	72.48327	274.70935	1882.2942	-626.09534	-74.1694	3852.73	451.85284996032715
70	223.0	110.0	0.0	3498.3635	6940.0957	10534.0	-10552.0	223.33083	653.2582	925.565	-1083.57	424.05	0.0	424.05	424.05	98.818184	6072.0	111.0	69999	72.06798	274.3105	2031.7412	-620.8121	-73.74419	3795.947	459.6971468925476
71	222.0	111.0	0.0	1136.9	7899.8745	12041.0	-10358.0	1.8394989	739.6507	1085.996	-1063.85	404.24	0.0	404.24	404.24	90.9	5874.0	111.0	70999	74.538826	274.0103	2007.518	-620.16016	-76.2048	3816.3115	467.73522686958313
72	222.0	111.0	0.0	4102.8	5397.9004	10873.0	-10586.0	264.825	504.77496	951.84	-1086.56	404.24	0.0	404.24	404.24	104.3	5874.0	111.0	71999	73.7063	271.52087	1848.4	-619.1321	-75.33997	3862.3389	475.3787739276886
73	222.0	111.0	0.0	5005.9	5375.4917	11663.0	-10065.0	351.38794	498.22787	998.475	-1034.71	404.24	0.0	404.24	404.24	104.3	5874.0	111.0	72999	77.21365	269.67206	1980.9686	-609.82556	-78.84172	3800.2297	483.80928111076355
74	222.0	111.0	0.0	6625.3335	1104.8632	9050.0	5733.0	505.44977	118.28807	775.832	412.968	404.24	0.0	404.24	404.24	111.0	5874.0	111.0	73999	77.84926	269.6761	1968.0402	-616.7056	-79.466034	3868.287	491.5550079345703
75	222.0	111.0	0.0	6467.8887	779.11066	7788.0	5552.0	486.36832	86.23394	665.87	396.968	404.24	0.0	404.24	404.24	111.0	5874.0	111.0	74999	80.23728	270.5828	1860.864	-598.8161	-81.85095	3809.9358	500.75193977355957
76	222.0	111.0	0.0	3362.6667	5101.9272	6558.0	-10658.0	183.15189	464.7282	486.726	-1092.915	404.24	0.0	404.24	404.24	103.55556	5874.0	111.0	75999	80.39784	270.752	1987.8785	-611.02637	-81.99554	3842.6873	509.8547329902649
77	222.0	111.0	0.0	5845.0	958.53094	7408.0	3509.0	416.10953	100.07046	581.374	173.35	404.24	0.0	404.24	404.24	111.0	5874.0	111.0	76999	83.23631	271.65848	1879.2769	-586.40826	-84.82823	3838.337	517.9692480564117
78	222.0	111.0	0.0	5543.4443	1505.4258	7514.0	2299.0	396.94412	150.79846	620.044	79.602	404.24	0.0	404.24	404.24	111.0	5874.0	111.0	77999	82.566696	269.73532	1952.6979	-581.10815	-84.145836	3842.5745	526.034590959549
79	240.0	93.0	0.0	7476.5557	1915.5386	11732.0	5874.0	587.44867	200.22554	1037.216	406.127	183.37	0.0	183.37	183.37	111.0	3326.0	111.0	78999	82.88555	267.8519	1972.1509	-571.8762	-84.44707	3864.804	536.5788280963898
80	222.0	111.0	0.0	6091.6665	2383.3774	9548.0	1936.0	460.71588	244.23833	824.639	49.097	404.24	0.0	404.24	404.24	111.0	5874.0	111.0	79999	84.44511	263.4541	1970.2666	-563.10706	-86.004486	3685.4404	545.5216870307922
81	222.0	111.0	0.0	4673.4	4981.98	7203.0	-10200.0	319.6744	459.54398	598.354	-1047.66	404.24	0.0	404.24	404.24	104.3	5874.0	111.0	80999	87.71311	263.2712	1842.1461	-553.3809	-89.25661	3745.6829	554.1298880577087
82	222.0	111.0	0.0	6146.0	275.0709	6592.0	5874.0	441.31955	34.244648	495.278	404.24	404.24	0.0	404.24	404.24	111.0	5874.0	111.0	81999	88.49079	260.96295	1822.1066	-553.64276	-90.04496	3679.6355	563.7716090679169
83	222.0	111.0	0.0	6401.1113	466.97858	7126.0	5898.0	465.1439	52.9252	551.336	410.106	404.24	0.0	404.24	404.24	111.0	5874.0	111.0	82999	89.07029	260.3702	1920.718	-560.0181	-90.61782	3715.8584	575.0804369449615
